gameId,seasonYear,League,homeTeamId,awayTeamId,Date,startTime,status,homeScore,awayScore
8906,2021,standard,1,40,2021-11-04,19:30,Finished,98,116
8907,2021,standard,20,2,2021-11-04,19:30,Finished,78,95
8908,2021,standard,28,14,2021-11-04,22:00,Finished,123,111
8909,2021,standard,17,25,2021-11-04,22:30,Finished,104,107
8910,2021,standard,10,4,2021-11-05,19:00,Finished,90,96
8911,2021,standard,26,31,2021-11-05,19:00,Finished,89,102
8912,2021,standard,41,19,2021-11-05,19:00,Finished,115,87
8913,2021,standard,38,7,2021-11-05,19:30,Finished,101,102
8914,2021,standard,21,24,2021-11-05,19:30,Finished,98,113
8915,2021,standard,22,16,2021-11-05,20:00,Finished,84,104
8916,2021,standard,11,23,2021-11-05,22:00,Finished,126,85
8917,2021,standard,29,15,2021-11-05,22:00,Finished,110,106
8918,2021,standard,30,5,2021-11-05,22:00,Finished,140,110
8919,2021,standard,9,14,2021-11-06,17:00,Finished,95,94
8920,2021,standard,20,40,2021-11-06,19:30,Finished,118,115
8921,2021,standard,6,27,2021-11-06,20:00,Finished,105,114
8922,2021,standard,8,2,2021-11-06,20:30,Finished,107,104
8923,2021,standard,28,1,2021-11-06,22:00,Finished,121,117
8924,2021,standard,29,17,2021-11-06,22:30,Finished,105,90
8925,2021,standard,38,4,2021-11-07,15:30,Finished,103,116
8926,2021,standard,24,7,2021-11-07,18:00,Finished,109,126
8927,2021,standard,26,40,2021-11-07,18:00,Finished,107,100
8928,2021,standard,41,21,2021-11-07,18:00,Finished,101,94
8929,2021,standard,30,15,2021-11-07,18:00,Finished,91,94
8930,2021,standard,25,31,2021-11-07,19:00,Finished,99,94
8931,2021,standard,11,14,2021-11-07,20:30,Finished,120,107
8932,2021,standard,16,5,2021-11-07,21:00,Finished,120,106
8933,2021,standard,27,24,2021-11-08,19:00,Finished,96,103
8934,2021,standard,6,4,2021-11-08,20:00,Finished,118,95
8935,2021,standard,19,22,2021-11-08,20:00,Finished,125,118
8936,2021,standard,8,23,2021-11-08,20:30,Finished,108,92
8937,2021,standard,9,20,2021-11-08,21:00,Finished,113,96
8938,2021,standard,11,1,2021-11-08,22:00,Finished,127,113
8939,2021,standard,30,28,2021-11-08,22:00,Finished,104,109
9719,2021,standard,17,5,2021-11-08,22:30,Finished,126,123
9720,2021,standard,27,21,2021-11-09,19:30,Finished,109,118
9721,2021,standard,40,1,2021-11-09,21:00,Finished,110,98
9722,2021,standard,16,29,2021-11-09,22:00,Finished,117,109
9723,2021,standard,7,41,2021-11-10,19:00,Finished,94,97
9724,2021,standard,26,4,2021-11-10,19:00,Finished,90,123
9725,2021,standard,2,38,2021-11-10,19:30,Finished,104,88
9726,2021,standard,24,21,2021-11-10,19:30,Finished,100,112
9727,2021,standard,14,10,2021-11-10,19:30,Finished,104,112
9728,2021,standard,6,8,2021-11-10,20:00,Finished,117,107
9729,2021,standard,19,5,2021-11-10,20:00,Finished,108,118
9730,2021,standard,23,25,2021-11-10,20:00,Finished,100,108
9731,2021,standard,31,30,2021-11-10,20:30,Finished,136,117
9732,2021,standard,9,15,2021-11-10,21:00,Finished,101,98
9733,2021,standard,28,29,2021-11-10,21:00,Finished,119,109
9734,2021,standard,11,22,2021-11-10,22:00,Finished,123,110
9735,2021,standard,17,20,2021-11-10,22:00,Finished,120,117
9736,2021,standard,27,38,2021-11-11,19:00,Finished,109,115
9737,2021,standard,40,15,2021-11-11,21:00,Finished,100,111
9738,2021,standard,16,20,2021-11-11,22:30,Finished,112,109
9739,2021,standard,5,24,2021-11-12,19:00,Finished,104,96
9740,2021,standard,2,21,2021-11-12,19:30,Finished,122,113
9741,2021,standard,7,10,2021-11-12,19:30,Finished,98,78
9742,2021,standard,14,29,2021-11-12,20:00,Finished,92,104
9743,2021,standard,19,28,2021-11-12,20:00,Finished,94,119
9744,2021,standard,23,4,2021-11-12,20:00,Finished,112,120
9745,2021,standard,25,30,2021-11-12,20:00,Finished,105,103
9746,2021,standard,31,8,2021-11-12,20:30,Finished,109,123
9747,2021,standard,9,1,2021-11-12,21:00,Finished,105,96
9748,2021,standard,11,6,2021-11-12,22:00,Finished,119,93
9749,2021,standard,17,22,2021-11-12,22:30,Finished,83,107
9750,2021,standard,40,20,2021-11-13,17:00,Finished,105,111
9751,2021,standard,15,27,2021-11-13,19:00,Finished,118,113
9752,2021,standard,26,41,2021-11-13,19:00,Finished,92,104
9753,2021,standard,23,19,2021-11-13,19:00,Finished,112,101
9754,2021,standard,38,10,2021-11-13,19:30,Finished,121,127
9755,2021,standard,7,2,2021-11-13,20:00,Finished,91,89
9756,2021,standard,16,22,2021-11-13,22:30,Finished,129,102
9757,2021,standard,17,31,2021-11-14,15:30,Finished,114,106
9758,2021,standard,1,21,2021-11-14,18:00,Finished,120,100
9759,2021,standard,5,11,2021-11-14,19:00,Finished,106,102
9760,2021,standard,14,28,2021-11-14,19:00,Finished,89,115
9761,2021,standard,25,4,2021-11-14,19:00,Finished,96,120
9762,2021,standard,9,29,2021-11-14,20:00,Finished,124,95
9763,2021,standard,16,6,2021-11-14,21:30,Finished,90,100
9764,2021,standard,7,2,2021-11-15,19:00,Finished,92,98
9765,2021,standard,10,30,2021-11-15,19:00,Finished,107,129
9766,2021,standard,41,23,2021-11-15,19:00,Finished,105,100
9767,2021,standard,1,26,2021-11-15,19:30,Finished,129,111
9768,2021,standard,24,15,2021-11-15,19:30,Finished,92,84
9769,2021,standard,8,9,2021-11-15,20:00,Finished,111,101
9770,2021,standard,19,14,2021-11-15,20:00,Finished,136,102
9771,2021,standard,22,28,2021-11-15,20:00,Finished,96,99
9772,2021,standard,25,20,2021-11-15,20:00,Finished,90,103
9773,2021,standard,29,38,2021-11-15,22:00,Finished,118,113
9774,2021,standard,17,6,2021-11-15,22:30,Finished,103,121
9775,2021,standard,4,11,2021-11-16,19:30,Finished,99,117
9776,2021,standard,40,27,2021-11-16,22:00,Finished,120,85
9777,2021,standard,16,31,2021-11-16,22:30,Finished,106,92
9778,2021,standard,5,41,2021-11-17,19:00,Finished,97,87
9779,2021,standard,10,15,2021-11-17,19:00,Finished,97,89
9780,2021,standard,1,2,2021-11-17,19:30,Finished,110,99
9781,2021,standard,4,7,2021-11-17,19:30,Finished,109,99
9782,2021,standard,20,23,2021-11-17,19:30,Finished,113,98
9783,2021,standard,24,26,2021-11-17,19:30,Finished,98,104
9784,2021,standard,21,17,2021-11-17,19:30,Finished,109,102
9785,2021,standard,22,30,2021-11-17,20:00,Finished,107,97
9786,2021,standard,25,14,2021-11-17,20:00,Finished,101,89
9787,2021,standard,28,8,2021-11-17,22:00,Finished,105,98
9788,2021,standard,29,6,2021-11-17,22:00,Finished,112,107
9789,2021,standard,7,11,2021-11-18,19:30,Finished,89,104
9790,2021,standard,20,41,2021-11-18,19:30,Finished,112,97
9791,2021,standard,19,16,2021-11-18,20:00,Finished,120,108
9792,2021,standard,22,31,2021-11-18,20:00,Finished,115,90
9793,2021,standard,9,27,2021-11-18,21:00,Finished,89,103
9794,2021,standard,40,38,2021-11-18,21:00,Finished,119,103
9795,2021,standard,5,15,2021-11-19,19:00,Finished,121,118
9796,2021,standard,10,11,2021-11-19,19:00,Finished,102,105
9797,2021,standard,2,17,2021-11-19,19:30,Finished,130,108
9798,2021,standard,4,26,2021-11-19,19:30,Finished,115,113
9799,2021,standard,21,25,2021-11-19,20:00,Finished,96,89
9800,2021,standard,23,16,2021-11-19,20:00,Finished,94,81
9801,2021,standard,9,6,2021-11-19,21:00,Finished,108,114
9802,2021,standard,28,8,2021-11-19,22:00,Finished,112,104
9803,2021,standard,30,38,2021-11-19,22:00,Finished,89,108
9804,2021,standard,24,14,2021-11-20,17:00,Finished,106,99
9805,2021,standard,15,23,2021-11-20,19:00,Finished,111,94
9806,2021,standard,41,20,2021-11-20,19:00,Finished,103,100
9807,2021,standard,1,5,2021-11-20,19:30,Finished,115,105
