LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP
NBA,Damion Lee,SG,GS,GS@NO,17.8,10.0,25,3.5,8.4,2.0,3.8,3.5,0.3,0.1,0.8,0.9,1.4,0.89,0.42
NBA,Hamidou Diallo,SG,DET,DET@MEM,17.7,10.5,21,4.3,8.5,1.4,4.3,3.4,0.9,0.5,1.0,1.3,1.4,0.6,0.51
NBA,Dillon Brooks,SF,MEM,DET@MEM,17.6,12.0,22,4.6,10.6,1.6,2.4,1.9,0.6,0.2,0.8,1.1,1.6,0.84,0.43
NBA,Tyus Jones,PG,MEM,DET@MEM,17.4,6.9,21,2.8,6.0,3.9,2.3,2.0,0.3,0.1,1.0,0.6,0.6,0.88,0.47
NBA,Obi Toppin,PF,NY,BOS@NY,16.6,9.2,19,3.5,7.1,1.4,4.4,3.4,1.0,0.6,0.5,1.0,1.6,0.79,0.49
NBA,Andre Iguodala,SF,GS,GS@NO,16.2,5.0,20,1.9,4.3,3.7,3.1,2.6,0.5,0.7,0.8,0.9,0.4,0.61,0.44
NBA,Kyle Anderson,PF,MEM,DET@MEM,16.1,6.6,20,2.6,5.4,2.2,4.4,3.8,0.6,0.5,1.0,0.8,0.9,0.68,0.48
NBA,Saben Lee,SG,DET,DET@MEM,15.8,6.7,17,2.4,5.8,3.0,2.7,2.4,0.3,0.5,1.0,1.1,1.4,0.71,0.41
NBA,Trey Lyles,PF,DET,DET@MEM,15.7,9.0,18,3.1,7.3,1.2,4.7,3.9,0.8,0.5,0.3,1.1,1.6,0.79,0.42
NBA,Kevon Looney,C,GS,GS@NO,15.5,5.9,19,2.5,4.5,2.1,5,3.5,1.5,0.7,0.4,0.8,0.8,0.63,0.56
NBA,De`Anthony Melton,PG,MEM,DET@MEM,14.8,6.7,18,2.5,5.8,2.2,3,2.4,0.6,0.4,1.3,1.0,0.7,0.76,0.43
NBA,Josh Richardson,SG,BOS,BOS@NY,14.6,8.7,22,3.1,7.3,1.7,2.3,1.8,0.5,0.4,0.6,0.8,1.4,0.85,0.42
NBA,Garrett Temple,SF,NO,GS@NO,14.6,7.6,24,2.7,6.8,1.8,3.1,2.5,0.6,0.4,0.9,0.9,0.7,0.75,0.4
NBA,Brandon Boston Jr,SG,LAC,LAC@PHO,13.3,8.6,20,3.0,8.6,1.0,2.6,2.3,0.3,0.2,0.9,1.0,1.4,0.82,0.35
NBA,Brandon Clarke,SF,MEM,DET@MEM,13.0,6.8,15,3.0,4.8,0.9,3.8,2.8,0.9,0.5,0.5,0.4,0.7,0.69,0.63
NBA,Jaxson Hayes,C,NO,GS@NO,13.0,7.2,15,2.7,4.5,0.7,4.2,2.7,1.6,0.5,0.4,0.7,1.7,0.76,0.6
NBA,Enes Kanter,C,BOS,BOS@NY,12.9,5.9,14,2.5,4.4,0.6,5.8,3.7,2.1,0.4,0.3,0.7,0.9,0.76,0.57
NBA,Isaiah Stewart,C,DET,DET@MEM,11.5,5.2,14,2.2,4.0,0.6,4.8,3.5,1.3,0.9,0.2,0.8,0.7,0.68,0.55
NBA,Quentin Grimes,SG,NY,BOS@NY,11.1,6.7,17,2.3,5.5,1.1,1.7,1.6,0.1,0.3,0.9,0.7,0.3,0.63,0.42
NBA,Jonathan Kuminga,SF,GS,GS@NO,10.3,7.7,14,2.7,5.9,0.4,2.2,1.9,0.3,0.1,0.5,1.0,1.7,0.6,0.46
NBA,Luka Garza,PF,DET,DET@MEM,10.1,6.4,13,2.3,5.0,0.5,3.1,1.4,1.7,0.1,0.2,0.8,1.1,0.62,0.46
NBA,Keon Johnson,SG,LAC,LAC@PHO,10.1,5.3,13,1.7,4.8,1.3,2,1.7,0.3,0.1,0.8,0.7,1.5,0.74,0.35
NBA,Amir Coffey,PG,LAC,LAC@PHO,9.8,5.2,15,1.7,4.0,1.0,2.3,2.1,0.2,0.2,0.4,0.3,1.0,0.82,0.42
NBA,Rodney McGruder,SF,DET,DET@MEM,9.7,5.2,15,2.0,4.7,1.0,2.6,2.1,0.5,0.2,0.3,0.8,0.4,0.68,0.43
NBA,Justise Winslow,SF,LAC,LAC@PHO,8.9,4.2,11,1.7,4.0,1.3,2.3,2.0,0.3,0.2,0.4,0.9,0.4,0.57,0.42
NBA,Chris Chiozza,PG,GS,GS@NO,8.7,2.6,11,1.0,3.2,2.7,1.1,0.9,0.2,0.1,0.4,0.9,0.2,0.8,0.31
NBA,Jarrett Culver,SF,MEM,DET@MEM,8.4,4.5,12,1.9,4.1,0.8,2,1.6,0.5,0.2,0.6,0.4,0.4,0.5,0.46
NBA,Grant Williams,PF,BOS,BOS@NY,7.4,3.8,15,1.3,2.7,0.6,2.2,1.7,0.5,0.4,0.3,0.5,0.6,0.81,0.48
NBA,Romeo Langford,SG,BOS,BOS@NY,6.4,3.3,14,1.3,2.9,0.4,2,1.4,0.5,0.3,0.4,0.3,0.4,0.66,0.45
NBA,Killian Tillie,C,MEM,DET@MEM,5.5,2.5,10,0.9,2.5,0.4,1.4,1.1,0.4,0.4,0.6,0.2,0.1,0.67,0.36
NBA,Ziaire Williams,SG,MEM,DET@MEM,5.2,3.4,13,1.4,3.4,0.4,1,0.9,0.1,0.2,0.3,0.4,0.1,0.67,0.41
NBA,Santi Aldama,PF,MEM,DET@MEM,4.8,2.1,8,0.9,2.5,0.4,2,1.5,0.6,0.2,0.1,0.3,0.2,0.57,0.36
NBA,Jabari Parker,SF,BOS,BOS@NY,4.1,2.3,5,0.9,1.8,0.4,1.2,0.9,0.3,0.1,0.1,0.3,0.3,0.76,0.5
NBA,Moses Moody,SG,GS,GS@NO,3.6,1.9,6,0.7,2.1,0.4,0.8,0.7,0.1,0.2,0.1,0.3,0.2,0.58,0.33
