index,LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP,DATE
190,NBA,Brandon Boston Jr,SG,LAC,IND@LAC,11.4,6.7,15,2.3,6.5,1.0,2.5,2.2,0.4,0.2,0.6,0.6,1.4,0.86,0.35,2022-01-17
191,NBA,R.J. Hampton,SG,ORL,POR@ORL,10.9,5.0,15,1.9,4.7,1.8,2.5,2.3,0.2,0.2,0.4,0.8,0.7,0.62,0.4,2022-01-17
192,NBA,Deni Avdija,SF,WAS,PHI@WAS,10.3,4.7,18,1.7,4.1,1.1,3.3,2.9,0.4,0.4,0.4,0.6,0.7,0.71,0.41,2022-01-17
193,NBA,Aaron Wiggins,SG,OKC,OKC@DAL,10.3,6.0,18,2.2,4.6,0.9,2.7,2.1,0.6,0.1,0.5,0.7,1.0,0.74,0.48,2022-01-17
194,NBA,Isaiah Hartenstein,PF,LAC,IND@LAC,10.2,4.5,10,1.9,3.1,1.1,3.0,2,1.0,0.7,0.4,0.6,0.7,0.66,0.61,2022-01-17
195,NBA,Troy Brown,SG,CHI,CHI@MEM,10.2,4.3,13,1.7,4.2,1.4,2.7,2.4,0.3,0.1,0.6,0.5,0.5,0.76,0.41,2022-01-17
196,NBA,Dwight Powell,PF,DAL,OKC@DAL,10.2,5.0,16,1.8,3.2,0.8,3.4,2.2,1.3,0.3,0.4,0.4,1.3,0.73,0.56,2022-01-17
197,NBA,Torrey Craig,SF,IND,IND@LAC,10.1,4.6,17,1.8,4.3,0.8,3.2,2.3,0.9,0.8,0.4,0.6,0.4,0.75,0.42,2022-01-17
198,NBA,Bruce Brown,SG,BKN,BKN@CLE,10.0,4.5,17,1.9,3.8,1.2,2.8,2.2,0.5,0.4,0.7,0.6,0.5,0.75,0.5,2022-01-17
199,NBA,Keita Bates-Diop,SF,SA,PHO@SA,10.0,5.4,15,2.1,4.0,0.6,3.2,2.5,0.7,0.3,0.4,0.5,0.7,0.7,0.53,2022-01-17
200,NBA,Ziaire Williams,SG,MEM,CHI@MEM,9.9,6.6,20,2.6,6.1,0.9,1.5,1.3,0.2,0.2,0.4,0.5,0.4,0.86,0.43,2022-01-17
201,NBA,Svi Mykhailiuk,SG,TOR,TOR@MIA,9.9,5.9,17,2.1,5.2,1.2,1.7,1.4,0.3,0.1,0.7,0.9,0.5,0.8,0.4,2022-01-17
202,NBA,Alfonzo McKinnie,SF,CHI,CHI@MEM,9.7,5.6,16,2.2,5.3,0.5,3.1,2.2,0.8,0.3,0.4,0.6,0.4,0.47,0.41,2022-01-17
