index,gameId,seasonYear,League,homeTeamId,awayTeamId,startDate,startTime,status,homeScore,awayScore
253,9753,2021,standard,23,19,2021-11-13,19:00,Finished,112,101
254,9754,2021,standard,38,10,2021-11-13,19:30,Finished,121,127
255,9755,2021,standard,7,2,2021-11-13,20:00,Finished,91,89
256,9756,2021,standard,16,22,2021-11-13,22:30,Finished,129,102
257,9757,2021,standard,17,31,2021-11-14,15:30,Finished,114,106
258,9758,2021,standard,1,21,2021-11-14,18:00,Finished,120,100
259,9759,2021,standard,5,11,2021-11-14,19:00,Finished,106,102
260,9760,2021,standard,14,28,2021-11-14,19:00,Finished,89,115
261,9761,2021,standard,25,4,2021-11-14,19:00,Finished,96,120
262,9762,2021,standard,9,29,2021-11-14,20:00,Finished,124,95
263,9763,2021,standard,16,6,2021-11-14,21:30,Finished,90,100
264,9764,2021,standard,7,2,2021-11-15,19:00,Finished,92,98
265,9765,2021,standard,10,30,2021-11-15,19:00,Finished,107,129
266,9766,2021,standard,41,23,2021-11-15,19:00,Finished,105,100
267,9767,2021,standard,1,26,2021-11-15,19:30,Finished,129,111
268,9768,2021,standard,24,15,2021-11-15,19:30,Finished,92,84
269,9769,2021,standard,8,9,2021-11-15,20:00,Finished,111,101
270,9770,2021,standard,19,14,2021-11-15,20:00,Finished,136,102
271,9771,2021,standard,22,28,2021-11-15,20:00,Finished,96,99
272,9772,2021,standard,25,20,2021-11-15,20:00,Finished,90,103
273,9773,2021,standard,29,38,2021-11-15,22:00,Finished,118,113
274,9774,2021,standard,17,6,2021-11-15,22:30,Finished,103,121
275,9775,2021,standard,4,11,2021-11-16,19:30,Finished,99,117
276,9776,2021,standard,40,27,2021-11-16,22:00,Finished,120,85
277,9777,2021,standard,16,31,2021-11-16,22:30,Finished,106,92
278,9778,2021,standard,5,41,2021-11-17,19:00,Finished,97,87
279,9779,2021,standard,10,15,2021-11-17,19:00,Finished,97,89
280,9780,2021,standard,1,2,2021-11-17,19:30,Finished,110,99
281,9781,2021,standard,4,7,2021-11-17,19:30,Finished,109,99
282,9782,2021,standard,20,23,2021-11-17,19:30,Finished,113,98
283,9783,2021,standard,24,26,2021-11-17,19:30,Finished,98,104
284,9784,2021,standard,21,17,2021-11-17,19:30,Finished,109,102
285,9785,2021,standard,22,30,2021-11-17,20:00,Finished,107,97
286,9786,2021,standard,25,14,2021-11-17,20:00,Finished,101,89
287,9787,2021,standard,28,8,2021-11-17,22:00,Finished,105,98
288,9788,2021,standard,29,6,2021-11-17,22:00,Finished,112,107
289,9789,2021,standard,7,11,2021-11-18,19:30,Finished,89,104
290,9790,2021,standard,20,41,2021-11-18,19:30,Finished,112,97
291,9791,2021,standard,19,16,2021-11-18,20:00,Finished,120,108
292,9792,2021,standard,22,31,2021-11-18,20:00,Finished,115,90
293,9793,2021,standard,9,27,2021-11-18,21:00,Finished,89,103
294,9794,2021,standard,40,38,2021-11-18,21:00,Finished,119,103
295,9795,2021,standard,5,15,2021-11-19,19:00,Finished,121,118
296,9796,2021,standard,10,11,2021-11-19,19:00,Finished,102,105
297,9797,2021,standard,2,17,2021-11-19,19:30,Finished,130,108
298,9798,2021,standard,4,26,2021-11-19,19:30,Finished,115,113
299,9799,2021,standard,21,25,2021-11-19,20:00,Finished,96,89
300,9800,2021,standard,23,16,2021-11-19,20:00,Finished,94,81
301,9801,2021,standard,9,6,2021-11-19,21:00,Finished,108,114
302,9802,2021,standard,28,8,2021-11-19,22:00,Finished,112,104
303,9803,2021,standard,30,38,2021-11-19,22:00,Finished,89,108
304,9804,2021,standard,24,14,2021-11-20,17:00,Finished,106,99
305,9805,2021,standard,15,23,2021-11-20,19:00,Finished,111,94
